journal	date	pmc_id
Cells	2021-07-01	8150579
Cells	2021-07-01	8150904
Cells	2021-07-01	8156310
Cells	2021-07-01	8150777
Cells	2021-07-01	8151859
Cells	2021-07-01	8153638
Cells	2021-07-01	8151059
Cells	2021-07-01	8151485
Cells	2021-07-01	8151379
Cells	2021-07-01	8150321
Cells	2021-07-01	8151076
Cells	2021-07-01	8151990
Cells	2021-07-01	8151439
Cells	2021-07-01	8151225
Cells	2021-07-01	8152284
Cells	2021-07-01	8153284
Cells	2021-07-01	8156538
Cells	2021-07-01	8150310
Cells	2021-07-01	8150801
Cells	2021-07-01	8150312
Cells	2021-07-01	8151797
Cells	2021-07-01	8161106
Cells	2021-07-01	8156970
Cells	2021-07-01	8224093
Cells	2021-07-01	8224636
Cells	2021-07-01	8224072
Cells	2021-07-01	8156620
Cells	2021-07-01	8161367
Cells	2021-07-01	8224041
Cells	2021-07-01	8155879
Cells	2021-07-01	8161178
Cells	2021-07-01	8158772
Cells	2021-07-01	8155901
Cells	2021-07-01	8157002
Cells	2021-07-01	8160739
Cells	2021-07-01	8160730
Cells	2021-07-01	8158696
Cells	2021-07-01	8224555
Cells	2021-07-01	8160634
Cells	2021-07-01	8161075
Cells	2021-07-01	8156441
Cells	2021-07-01	8156939
Cells	2021-07-01	8224381
Cells	2021-07-01	8158124
Cells	2021-07-01	8157847
Cells	2021-07-01	8156316
Cells	2021-07-01	8229613
Cells	2021-07-01	8228508
Cells	2021-07-01	8229894
Cells	2021-07-01	8228394
Cells	2021-07-01	8226759
Cells	2021-07-01	8229118
Cells	2021-07-01	8227628
Cells	2021-07-01	8226784
Cells	2021-07-01	8228502
Cells	2021-07-01	8229010
Cells	2021-07-01	8229365
Cells	2021-07-01	8224614
Cells	2021-07-01	8229249
Cells	2021-07-01	8228134
Cells	2021-07-01	8230068
Cells	2021-07-01	8227721
Cells	2021-07-01	8228721
Cells	2021-07-01	8227669
Cells	2021-07-01	8225046
Cells	2021-07-01	8227136
Cells	2021-07-01	8226954
Cells	2021-07-01	8228374
Cells	2021-07-01	8224694
Cells	2021-07-01	8229065
Cells	2021-07-01	8230255
Cells	2021-07-01	8227520
Cells	2021-07-01	8228719
Cells	2021-07-01	8228308
Cells	2021-07-01	8227743
Cells	2021-07-01	8229180
Cells	2021-07-01	8230279
Cells	2021-07-01	8230189
Cells	2021-07-01	8230292
Cells	2021-07-01	8227243
Cells	2021-07-01	8226506
Cells	2021-07-01	8227392
Cells	2021-07-01	8229576
Cells	2021-07-01	8228325
Cells	2021-07-01	8226756
Cells	2021-07-01	8227236
Cells	2021-07-01	8228551
Cells	2021-07-01	8227539
Cells	2021-07-01	8227977
Cells	2021-07-01	8229038
Cells	2021-07-01	8227541
Cells	2021-07-01	8226522
Cells	2021-07-01	8228804
Cells	2021-07-01	8227581
Cells	2021-07-01	8229892
Cells	2021-07-01	8229615
Cells	2021-07-01	8231548
Cells	2021-07-01	8230603
Cells	2021-07-01	8232689
Cells	2021-07-01	8228425
Cells	2021-07-01	8231487
Cells	2021-07-01	8230653
Cells	2021-07-01	8230544
Cells	2021-07-01	8232272
Cells	2021-07-01	8231632
Cells	2021-07-01	8230211
Cells	2021-07-01	8229632
Cells	2021-07-01	8231585
Cells	2021-07-01	8232593
Cells	2021-07-01	8227969
Cells	2021-07-01	8230404
Cells	2021-07-01	8231250
Cells	2021-07-01	8230688
Cells	2021-07-01	8231185
Cells	2021-07-01	8229141
Cells	2021-07-01	8230646
Cells	2021-07-01	8231180
Cells	2021-07-01	8232196
Cells	2021-07-01	8232169
Cells	2021-07-01	8230381
Cells	2021-07-01	8226556
Cells	2021-07-01	8235667
Cells	2021-07-01	8234170
Cells	2021-07-01	8234135
Cells	2021-07-01	8234093
Cells	2021-07-01	8235748
Cells	2021-07-01	8305746
Cells	2021-07-01	8235743
Cells	2021-07-01	8307798
Cells	2021-07-01	8234222
Cells	2021-07-01	8235367
Cells	2021-07-01	8303864
Cells	2021-07-01	8304645
Cells	2021-07-01	8235349
Cells	2021-07-01	8234474
Cells	2021-07-01	8234875
Cells	2021-07-01	8234816
Cells	2021-07-01	8235722
Cells	2021-07-01	8307124
Cells	2021-07-01	8303455
Cells	2021-07-01	8234207
Cells	2021-07-01	8234610
Cells	2021-07-01	8234161
Cells	2021-07-01	8305827
Cells	2021-07-01	8234940
Cells	2021-07-01	8235078
Cells	2021-07-01	8305005
Cells	2021-07-01	8303590
Cells	2021-07-01	8305172
Cells	2021-07-01	8303410
Cells	2021-07-01	8307729
Cells	2021-07-01	8303735
Cells	2021-07-01	8307656
Cells	2021-07-01	8305614
Cells	2021-07-01	8306889
Cells	2021-07-01	8304447
Cells	2021-07-01	8305598
Cells	2021-07-01	8303917
Cells	2021-07-01	8304848
Cells	2021-07-01	8307730
Cells	2021-07-01	8305155
Cells	2021-07-01	8303525
Cells	2021-07-01	8306773
Cells	2021-07-01	8304476
Cells	2021-07-01	8304292
Cells	2021-07-01	8306023
Cells	2021-07-01	8305917
Cells	2021-07-01	8305481
Cells	2021-07-01	8308013
Cells	2021-07-01	8307977
Cells	2021-07-01	8306990
